TimeOfArrival,MemberNumber,LastName,MemberCount,GuestCount
8:15,101,Smith,4,2
9:00,102,Johnson,2,1
7:45,103,Williams,3,0
10:30,104,Jones,5,3
11:20,105,Brown,2,0
8:50,106,Davis,4,2
9:35,107,Miller,3,1
10:10,108,Wilson,6,2
11:05,109,Moore,1,0
7:30,110,Taylor,5,2
8:05,111,Anderson,3,0
9:25,112,Thomas,2,1
10:50,113,Jackson,4,1
11:15,114,White,6,3
8:40,115,Harris,3,0
9:10,116,Martin,5,2
7:50,117,Thompson,2,0
10:05,118,Garcia,4,2
11:45,119,Martinez,3,1
8:20,120,Rodriguez,5,3
9:55,121,Lewis,1,0
10:25,122,Lee,6,2
8:35,123,Walker,4,2
9:05,124,Hall,3,1
7:40,125,Allen,5,0
11:00,126,Young,2,1
8:10,127,Hernandez,4,3
9:45,128,King,6,2
10:40,129,Wright,3,0
7:25,130,Lopez,5,1
8:30,131,Hill,2,0
9:50,132,Scott,4,2
10:15,133,Green,3,1
11:10,134,Adams,5,3
7:35,135,Baker,1,0
8:25,136,Gonzalez,4,2
9:40,137,Nelson,3,0
10:00,138,Carter,6,3
11:30,139,Mitchell,2,1
8:55,140,Perez,5,2
9:15,141,Roberts,3,0
7:55,142,Turner,4,1
10:20,143,Phillips,6,2
8:45,144,Campbell,5,3
9:30,145,Parker,2,0
7:20,146,Evans,4,2
11:25,147,Edwards,3,1
8:00,148,Collins,5,0
9:20,149,Stewart,2,1
10:45,150,Sanchez,4,3
11:40,151,Morris,6,2
8:15,152,Rogers,3,0
9:05,153,Reed,5,1
10:35,154,Cook,2,0
7:50,155,Morgan,4,2
8:50,156,Bell,3,1
9:45,157,Murphy,5,3
10:55,158,Bailey,1,0
8:20,159,Rivera,4,2
7:35,160,Cooper,3,0
9:40,161,Richardson,6,3
11:50,162,Cox,2,1
8:30,163,Howard,5,2
9:55,164,Ward,3,0
10:05,165,Torres,4,1
11:15,166,Peterson,6,2
8:40,167,Gray,5,3
9:25,168,Ramirez,2,0
10:15,169,James,4,2
7:30,170,Watson,3,1
8:35,171,Brooks,5,0
9:50,172,Kelly,2,1
10:25,173,Sanders,4,3
11:05,174,Price,6,2
8:50,175,Bennett,3,0
9:35,176,Wood,5,1
7:45,177,Barnes,2,0
10:50,178,Ross,4,2
8:10,179,Henderson,3,1
11:20,180,Coleman,5,3
7:25,181,Jenkins,1,0
8:55,182,Perry,4,2
9:10,183,Long,3,0
10:30,184,Powell,6,3
11:35,185,Patterson,2,1
8:05,186,Hughes,5,2
9:15,187,Flores,3,0
10:40,188,Washington,4,1
11:45,189,Butler,6,2
8:25,190,Simmons,5,3
7:50,191,Foster,2,0
9:30,192,Gonzales,4,2
8:45,193,Bryant,3,1
11:00,194,Alexander,5,0
9:05,195,Russell,2,1
10:20,196,Griffin,4,3
11:10,197,Diaz,6,2
8:55,198,Hayes,3,0
9:40,199,Myers,5,1
7:35,200,Henderson,2,0
