TimeOfArrival,IDNumber,LastName,MemberCount,GuestCount
10:45,102,Johnson,3,1
15:20,104,Jones,1,0
09:50,106,Davis,5,3
18:00,109,Moore,4,2
14:35,112,Thomas,3,0
11:40,113,Jackson,5,4
17:25,114,White,1,2
09:15,117,Thompson,3,3
16:10,119,Martinez,1,1
11:25,121,Lewis,3,0
14:00,125,Allen,2,0
10:20,128,King,1,0
18:15,131,Hill,3,1
12:45,134,Adams,1,3
19:00,136,Gonzalez,6,5
09:05,138,Carter,4,1
13:50,140,Perez,5,0
16:50,143,Phillips,4,3
12:15,146,Evans,5,2
14:25,147,Edwards,2,4
11:55,150,Sanchez,3,2
09:35,153,Reed,5,4
16:30,169,James,4,2
10:05,170,Watson,2,1
18:25,173,Sanders,3,2
15:10,175,Bennett,2,1
12:20,178,Ross,3,4
19:00,180,Coleman,4,0
11:35,185,Patterson,1,3
09:40,186,Hughes,3,1
14:40,188,Washington,2,0
15:50,190,Simmons,3,1
18:10,195,Russell,3,4
13:25,196,Griffin,2,3
10:30,198,Hayes,6,3
14:50,199,Myers,5,2
